"Residence","Residence State","Residence FIPS","Workplace","Workplace State","Workplace FIPS","Year","Variable","Measure Type","Value"
"Abington","MA",2502300170,"New Haven","CT",900952070,2014,"Commuters","Number",3
"Abington","MA",2502300170,"Farmington","CT",900327600,2014,"Commuters","Number",2
"Abington","MA",2502300170,"New London","CT",901152350,2014,"Commuters","Number",2
"Abington","MA",2502300170,"Bristol","CT",900308490,2014,"Commuters","Number",1
"Abington","MA",2502300170,"Cheshire","CT",900914160,2014,"Commuters","Number",1
"Abington","MA",2502300170,"East Hartford","CT",900322630,2014,"Commuters","Number",1
"Abington","MA",2502300170,"Fairfield","CT",900126620,2014,"Commuters","Number",1
"Abington","MA",2502300170,"Groton","CT",901134250,2014,"Commuters","Number",1
"Abington","MA",2502300170,"Hartford","CT",900337070,2014,"Commuters","Number",1
"Abington","MA",2502300170,"Killingly","CT",901540500,2014,"Commuters","Number",1
"Abington","MA",2502300170,"Middletown","CT",900747360,2014,"Commuters","Number",1
"Abington","MA",2502300170,"Milford","CT",900947535,2014,"Commuters","Number",1
"Abington","MA",2502300170,"New Britain","CT",900350440,2014,"Commuters","Number",1
"Abington","MA",2502300170,"Norwalk","CT",900156060,2014,"Commuters","Number",1
"Abington","MA",2502300170,"Waterbury","CT",900980070,2014,"Commuters","Number",1
"Abington","MA",2502300170,"Westbrook","CT",900781680,2014,"Commuters","Number",1
"Abington","MA",2502300170,"Windsor","CT",900387000,2014,"Commuters","Number",1
"Acton","MA",2501700380,"Waterbury","CT",900980070,2014,"Commuters","Number",4
"Acton","MA",2501700380,"Bridgeport","CT",900108070,2014,"Commuters","Number",3
"Acton","MA",2501700380,"New Haven","CT",900952070,2014,"Commuters","Number",3
"Acton","MA",2501700380,"Stamford","CT",900173070,2014,"Commuters","Number",3
"Acton","MA",2501700380,"West Hartford","CT",900382590,2014,"Commuters","Number",3
"Acton","MA",2501700380,"Groton","CT",901134250,2014,"Commuters","Number",2
"Acton","MA",2501700380,"Hartford","CT",900337070,2014,"Commuters","Number",2
"Acton","MA",2501700380,"Killingly","CT",901540500,2014,"Commuters","Number",2
"Acton","MA",2501700380,"Manchester","CT",900344700,2014,"Commuters","Number",2
"Acton","MA",2501700380,"Middletown","CT",900747360,2014,"Commuters","Number",2
"Acton","MA",2501700380,"Montville","CT",901148900,2014,"Commuters","Number",2
"Acton","MA",2501700380,"Avon","CT",900302060,2014,"Commuters","Number",1
"Acton","MA",2501700380,"Branford","CT",900907310,2014,"Commuters","Number",1
"Acton","MA",2501700380,"Cheshire","CT",900914160,2014,"Commuters","Number",1
"Acton","MA",2501700380,"Danbury","CT",900118500,2014,"Commuters","Number",1
"Acton","MA",2501700380,"Fairfield","CT",900126620,2014,"Commuters","Number",1
"Acton","MA",2501700380,"Farmington","CT",900327600,2014,"Commuters","Number",1
"Acton","MA",2501700380,"Franklin","CT",901129910,2014,"Commuters","Number",1
"Acton","MA",2501700380,"Glastonbury","CT",900331240,2014,"Commuters","Number",1
"Acton","MA",2501700380,"Greenwich","CT",900133620,2014,"Commuters","Number",1
"Acton","MA",2501700380,"Ridgefield","CT",900163970,2014,"Commuters","Number",1
"Acton","MA",2501700380,"Torrington","CT",900576570,2014,"Commuters","Number",1
"Acton","MA",2501700380,"Wallingford","CT",900978740,2014,"Commuters","Number",1
